shmmitzrach,english_name,food_energy,rephrased_english,rephrased_hebrew
"יוגורט, אקטיביה דיאט 0% שומן טבעי, פטל אוכמניות, שזיף מיובש","Yoghurt, cow milk, 0% fat, unflavored, Activia, with probiotics, Strauss",37,"Food item: Yoghurt, cow milk, 0% fat, unflavored, Activia, with probiotics, Strauss","מזון: יוגורט, אקטיביה דיאט 0% שומן טבעי, פטל אוכמניות, שזיף מיובש"
"יוגורט 1.5% שומן, אקטיביה, בטעם שזיף מיובש/פרי יבש/תות/אפרסק/פטל/גרנולה, דנונה","Yoghurt, cow milk, 1.5% fat, flavored, with granola, Danona",93,"Food item: Yoghurt, cow milk, 1.5% fat, flavored, with granola, Danona","מזון: יוגורט 1.5% שומן, אקטיביה, בטעם שזיף מיובש/פרי יבש/תות/אפרסק/פטל/גרנולה, דנונה"
"יוגורט 0% שומן, יופלה, טבעי, תנובה","Yoghurt, cow milk, 0% fat, unflavored, Tnuva",37,"Food item: Yoghurt, cow milk, 0% fat, unflavored, Tnuva","מזון: יוגורט 0% שומן, יופלה, טבעי, תנובה"
"יוגורט לשתייה עם מלפפונים ,ציזיקי  3.5% שומן, גד","Yoghurt drink, cow milk, 3.5% fat, Ziziki, with cucumbers, Gad",61,"Food item: Yoghurt drink, cow milk, 3.5% fat, Ziziki, with cucumbers, Gad","מזון: יוגורט לשתייה עם מלפפונים ,ציזיקי  3.5% שומן, גד"
"יוגורט 5% שומן, מחלב בופאלו","Yoghurt, buffalo milk, 5% fat",78,"Food item: Yoghurt, buffalo milk, 5% fat","מזון: יוגורט 5% שומן, מחלב בופאלו"
"משקה יוגורט 0% שומן אקטימל דיאט,שטראוס","Yoghurt drink, cow milk, 0% fat, Actimel, Strauss",34,"Food item: Yoghurt drink, cow milk, 0% fat, Actimel, Strauss","מזון: משקה יוגורט 0% שומן אקטימל דיאט,שטראוס"
יוגורט 3% שומן תנובה,"Yoghurt, cow milk, 3% fat, unflavored, Tnuva",65,Cow's milk with 3% fat content.,חלב פרה עם תכולת שומן של 3%.
"משקה יוגורט 1.8% שומן, בטעמים, אקטימל, שטראוס","Yoghurt drink, cow milk, 1.8% fat, flavored, Actimel, Strauss",96,"Food item: Yoghurt drink, cow milk, 1.8% fat, flavored, Actimel, Strauss","מזון: משקה יוגורט 1.8% שומן, בטעמים, אקטימל, שטראוס"
"יוגורט, דנונה דיאט 0% קפוצ'ינו, תות, אננס, אפרסק, דובדבן , משמש, רום צימוקים, מנגו , פטל","Yoghurt, cow milk, 0% fat, fruit flavored, Danone, Strauss",38,"Food item: Yoghurt, cow milk, 0% fat, fruit flavored, Danone, Strauss","מזון: יוגורט, דנונה דיאט 0% קפוצ'ינו, תות, אננס, אפרסק, דובדבן , משמש, רום צימוקים, מנגו , פטל"
"יוגורט 3.9% שומן, מחלב עזים, צוריאל","Yoghurt, goat milk, 3% fat, unflavored, Tzuriel",75,Yogurt made from cow's milk with 3% fat content.,יוגורט מחלב פרה עם תכולת שומן של 3%.
"משקה יוגורט ביו 0%, תות, אננס,טרה","Yoghurt drink, Bio, cow milk, 0% fat, fruit-flavored, Tara",40,"Food item: Yoghurt drink, Bio, cow milk, 0% fat, fruit-flavored, Tara","מזון: משקה יוגורט ביו 0%, תות, אננס,טרה"
"משקה יוגורט ביו 1.5%, תות/מנגו/ בננה/תפוז,טרה","Yoghurt drink, cow milk, 1.5% fat, fruit flavored, Tara",94,"Food item: Yoghurt drink, cow milk, 1.5% fat, fruit flavored, Tara","מזון: משקה יוגורט ביו 1.5%, תות/מנגו/ בננה/תפוז,טרה"
"יוגורט יופלה, 2.7% שומן עם גרנולה, תנובה","Yoghurt, cow milk, 1.5% fat, with granola, Tnuva",104,"Food item: Yoghurt, cow milk, 1.5% fat, with granola, Tnuva","מזון: יוגורט יופלה, 2.7% שומן עם גרנולה, תנובה"
"יוגורט 1.7% שומן, מולר","Yoghurt, cow milk, 1.7% fat, Mueller",63,"Food item: Yoghurt, cow milk, 1.7% fat, Mueller","מזון: יוגורט 1.7% שומן, מולר"
"יוגורט 7%,תנובה","Yoghurt, cow milk, 7% fat, Tnuva",91,"Food item: Yoghurt, cow milk, 7% fat, Tnuva","מזון: יוגורט 7%,תנובה"
"לבן 4.5% שומן, אשל,תנובה","Leben, 4.5% fat, unflavored, Eshel, Tnuva",71,"Food item: Leben, 4.5% fat, unflavored, Eshel, Tnuva","מזון: לבן 4.5% שומן, אשל,תנובה"
"יוגורט 4%  שומן, דנובה, תנובה","Yoghurt, cow milk, 4.5% fat, unflavored, Danona, Tnuva",71,Yogurt made from cow's milk with 4.5% fat content.,יוגורט מחלב פרה עם תכולת שומן של 4.5%.
"יוגורט 3% שומן, אקטיביה, טבעי","Yoghurt, cow milk, 3% fat, unflavored, Activia, Strauss",62,Cow's milk with 3% fat content.,חלב פרה עם תכולת שומן של 3%.
"יוגורט 3% שומן, בטעם פאי תפוחים/תות בננה/בננה ואגוזים, שטראוס","Yoghurt, cow milk, 3% fat, apple/banana fruit flavored, Strauss",112,Cow's milk with 3% fat content.,חלב פרה עם תכולת שומן של 3%.
"יוגורט 3% שומן, איירן , גד","Yoghurt, cow milk, 3% fat, unflavored, Gad",55,Cow's milk with 3% fat content.,חלב פרה עם תכולת שומן של 3%.
"יוגורט 3% שומן, בטעמי פרי,שטראוס","Yoghurt, cow milk, 3% fat, fruit flavored, Strauss",109,Cow's milk with 3% fat content.,חלב פרה עם תכולת שומן של 3%.
"מעדן, גמדים, 5% שומן, גבינה לבנה עם מחית בננה, תות או משמש","Yoghurt, cow milk, 3% fat,with fruit, Strauss",105,Cow's milk with 3% fat content.,חלב פרה עם תכולת שומן של 3%.
"לבן 3% שומן, גיל,טרה, תנובה","Leben, 3% fat, Gil, Tara/Tnuva",56,"Food item: Leben, 3% fat, Gil, Tara/Tnuva","מזון: לבן 3% שומן, גיל,טרה, תנובה"
לבן מבושל,"Leben, cooked",41,"Food item: Leben, cooked",מזון: לבן מבושל
"יוגורט 4% שומן עם קורנפלקס מצופה שוקולד, מולר מיקס, מולר","Yoghurt, cow milk, 1.5% fat, fruit flavored with chocolate-coated cereal/nuts, Mueller Mix",119,"Food item: Yoghurt, cow milk, 1.5% fat, fruit flavored with chocolate-coated cereal/nuts, Mueller Mix","מזון: יוגורט 4% שומן עם קורנפלקס מצופה שוקולד, מולר מיקס, מולר"
לבן מבושל עם בצל,"Leben, cooked with onion",43,"Food item: Leben, cooked with onion",מזון: לבן מבושל עם בצל
"יוגורט עזים מלא 4% שומן, הרדוף","Yoghurt drink, goat milk, 3.8% fat, Harduf",65,"Goat’s milk, typically higher in certain minerals than cow’s milk.","חלב עזים, לרוב עשיר יותר במינרלים מחלב פרה."
"יוגורט אקטיביה 1.5%, שטראוס","Yoghurt, cow milk, 1.5% fat, Activia, Strauss",48,"Food item: Yoghurt, cow milk, 1.5% fat, Activia, Strauss","מזון: יוגורט אקטיביה 1.5%, שטראוס"
"לבן בטעם אפרסק/תות 3% שומן, יטבתה","Leben, 3% fat, sweetened, flavored, Yotvata",87,"Food item: Leben, 3% fat, sweetened, flavored, Yotvata","מזון: לבן בטעם אפרסק/תות 3% שומן, יטבתה"
"יוגורט מתוק, דיאט 0% שומן, יופלה, טעמים שונים, תנובה","Yoghurt, cow milk, 0% fat, various flavors, artificially sweetened, Tnuva",39,"Food item: Yoghurt, cow milk, 0% fat, various flavors, artificially sweetened, Tnuva","מזון: יוגורט מתוק, דיאט 0% שומן, יופלה, טעמים שונים, תנובה"
"יוגורט, יופלה שטוזים גבינה מוקצפת 5% שומן, טעמים שונים,תנובה","Yoghurt, cow milk, 5% fat, whipped, various flavors, Tnuva",125,"Food item: Yoghurt, cow milk, 5% fat, whipped, various flavors, Tnuva","מזון: יוגורט, יופלה שטוזים גבינה מוקצפת 5% שומן, טעמים שונים,תנובה"
"יוגורט ביופרו 0% שומן, שטראוס","Yoghurt, cow milk, 0% fat, unflavored,with probiotics, Strauss",40,"Food item: Yoghurt, cow milk, 0% fat, unflavored,with probiotics, Strauss","מזון: יוגורט ביופרו 0% שומן, שטראוס"
"יוגורט מתוק 3% שומן, טעמים שונים ,יופלה , תנובה","Yoghurt, cow milk, 3% fat, various flavors, Tnuva",109,Cow's milk with 3% fat content.,חלב פרה עם תכולת שומן של 3%.
"יוגורט יופלה לבן, 1.5% שומן, תנובה","Yoghurt, cow milk, 1.5% fat, unflavored, Tnuva",49,"Food item: Yoghurt, cow milk, 1.5% fat, unflavored, Tnuva","מזון: יוגורט יופלה לבן, 1.5% שומן, תנובה"
"יוגורט יופלה לבן, 1.5% שומן, במתיקות מעודנת, תנובה","Yoghurt, cow milk, 1.5% fat, lightly sweetened, unflavored, Tnuva",75,"Food item: Yoghurt, cow milk, 1.5% fat, lightly sweetened, unflavored, Tnuva","מזון: יוגורט יופלה לבן, 1.5% שומן, במתיקות מעודנת, תנובה"
"יוגורט 3% שומן, מעודן , כולל שלי קלסיק/ יופלה, תנובה","Yoghurt, cow milk, 3% fat, flavored and lightly sweetened, Tnuva",64,Cow's milk with 3% fat content.,חלב פרה עם תכולת שומן של 3%.
"יוגורט מתוק 1.5% שומן, פרילי, פריגורה,  תנובה","Yoghurt, cow milk, 1.5% fat, fruit flavored,sweetened, Prili, Prigura, Tnuva ",103,"Food item: Yoghurt, cow milk, 1.5% fat, fruit flavored,sweetened, Prili, Prigura, Tnuva","מזון: יוגורט מתוק 1.5% שומן, פרילי, פריגורה,  תנובה"
"לאבנה 9% שומן, מחלב בקר, פיראוס, תנובה","Labane, cow milk, 9% fat, Piraeus, Tnuva",127,"Food item: Labane, cow milk, 9% fat, Piraeus, Tnuva","מזון: לאבנה 9% שומן, מחלב בקר, פיראוס, תנובה"
"לאבנה ביתית, חלב בקר, 9% שומן","Labane, cow milk, 9% fat, homemade",135,"Food item: Labane, cow milk, 9% fat, homemade","מזון: לאבנה ביתית, חלב בקר, 9% שומן"
"לאבנה מחלב עזים 5% שומן, גד","Labane, sheep milk, 5% fat, Gad",91,"Food item: Labane, sheep milk, 5% fat, Gad","מזון: לאבנה מחלב עזים 5% שומן, גד"
"לאבנה מחלב בקר 5% שומן, עם שמן זית /זעתר,גד","Labane, cow milk, 5% fat, in olive oil and hyssop, Gad",166,"Food item: Labane, cow milk, 5% fat, in olive oil and hyssop, Gad","מזון: לאבנה מחלב בקר 5% שומן, עם שמן זית /זעתר,גד"
"לאבנה 9% שומן, מחלב בופאלו, כדורים בשמן זית","Labane, buffalo milk, 9% fat, balls, in olive oil",121,"Food item: Labane, buffalo milk, 9% fat, balls, in olive oil","מזון: לאבנה 9% שומן, מחלב בופאלו, כדורים בשמן זית"
"יוגורט מתוק 3% שומן, בתוספת בר גרנולה/קורנפלקס,שטראוס","Yoghurt, cow milk, 3% fat, with cereal, Strauss",127,Cow's milk with 3% fat content.,חלב פרה עם תכולת שומן של 3%.
"גלידת יוגורט, קפוא, טעמים שונים, בן & ג'ריס","Yoghurt, frozen, cow milk, various flavors, Ben and Jerry's",190,"Food item: Yoghurt, frozen, cow milk, various flavors, Ben and Jerry's","מזון: גלידת יוגורט, קפוא, טעמים שונים, בן & ג'ריס"
"משקה יוגורט, 1.5% שומן, בטעם פירות, דנונה, שטראוס","Milk drink, 1.5% fat, fruit flavor, Danona/Strauss",82,"A flavored milk-based beverage, typically with added sugar or flavors.","משקה על בסיס חלב, לרוב עם תוספת סוכר או טעמים."
"משקה חלב 2% שומן, אייס קפה/מוקה, יטבתה, תנובה","Milk drink, 2% fat, mocha flavored, Yotvata, Tnuva",72,"A flavored milk-based beverage, typically with added sugar or flavors.","משקה על בסיס חלב, לרוב עם תוספת סוכר או טעמים."
"משקה חלב 0% שומן, שוקו דיאט, יטבתה","Milk drink, 0% fat, chocolate flavored, energy-reduced, Yotvata",39,"A flavored milk-based beverage, typically with added sugar or flavors.","משקה על בסיס חלב, לרוב עם תוספת סוכר או טעמים."
"משקה חלב 1.5% שומן, שוקו, יטבתה","Milk drink, 1.5% fat, chocolate, Yotvata",53,"A flavored milk-based beverage, typically with added sugar or flavors.","משקה על בסיס חלב, לרוב עם תוספת סוכר או טעמים."
"משקה חלב 0% שומן, דיאט ,שוקו ,תנובה","Milk drink, 0% fat, energy-reduced, chocolate, Tnuva",45,"A flavored milk-based beverage, typically with added sugar or flavors.","משקה על בסיס חלב, לרוב עם תוספת סוכר או טעמים."
"משקה חלב בטעם בננה, 2% שומן ,תנובה,יטבתה","Milk drink, 3% fat, caramel flavor, Tnuva/Yotvata",79,"A flavored milk-based beverage, typically with added sugar or flavors.","משקה על בסיס חלב, לרוב עם תוספת סוכר או טעמים."
"משקה חלב בטעם וניל,3% שומן, מועשר בסידן ויטמן D,תנובה","Milk drink, 3% fat, vanilla, added calcium and vitamin D, Tnuva",72,"A flavored milk-based beverage, typically with added sugar or flavors.","משקה על בסיס חלב, לרוב עם תוספת סוכר או טעמים."
מילקשייק פירות על בסיס חלב 3% שומן,"Milkshake, fruit, with 3% fat milk",63,"Food item: Milkshake, fruit, with 3% fat milk",מזון: מילקשייק פירות על בסיס חלב 3% שומן
"משקה חלב, שוקו 2% שומן, תנובה","Milk drink, 2% fat, chocolate, Tnuva",50,"A flavored milk-based beverage, typically with added sugar or flavors.","משקה על בסיס חלב, לרוב עם תוספת סוכר או טעמים."
"משקה חלב 2% שומן, מילקשייק, טעמים שונים, יטבתה","Milkshake, 2% fat, various flavors, Yotvata",85,"Food item: Milkshake, 2% fat, various flavors, Yotvata","מזון: משקה חלב 2% שומן, מילקשייק, טעמים שונים, יטבתה"
"מילקשייק וניל/תות/שוקו, מקדונלדס","Milkshake, vanilla/strawberry/chocolate, McDonald's",109,"Food item: Milkshake, vanilla/strawberry/chocolate, McDonald's","מזון: מילקשייק וניל/תות/שוקו, מקדונלדס"
"תוסף לארוחה, משקה עתיר קלוריות וחלבון, EASY DRINK, איזיליין","Meal supplement, EASYDRINK, drink, energy and protein enriched, Easyline",138,"Food item: Meal supplement, EASYDRINK, drink, energy and protein enriched, Easyline","מזון: תוסף לארוחה, משקה עתיר קלוריות וחלבון, EASY DRINK, איזיליין"
"תמ""י, תחליף לארוחה, נוזלי, בתוספת סיבים, EASY FIBER, איזיליין","Medical formula, EASYFIBER, liquid, with added fiber, Easyline",110,"Food item: Medical formula, EASYFIBER, liquid, with added fiber, Easyline","מזון: תמ""י, תחליף לארוחה, נוזלי, בתוספת סיבים, EASY FIBER, איזיליין"
"תמ""י, תחליף לארוחה נוזלי,JEVITY","Medical formula, JEVITY, liquid",106,"Food item: Medical formula, JEVITY, liquid","מזון: תמ""י, תחליף לארוחה נוזלי,JEVITY"
"תמ""י, תחליף לארוחה נוזלי,OSMOLITE","Medical formula, OSMOLITE, liquid",106,"Food item: Medical formula, OSMOLITE, liquid","מזון: תמ""י, תחליף לארוחה נוזלי,OSMOLITE"
"תמ""י, תחליף לארוחה נוזלי,PULMOCARE","Medical formula, PULMOCARE, liquid",150,"Food item: Medical formula, PULMOCARE, liquid","מזון: תמ""י, תחליף לארוחה נוזלי,PULMOCARE"
"תמ""י, תחליף לארוחה נוזלי,OXEPA","Medical formula, OXEPA, liquid",150,"Food item: Medical formula, OXEPA, liquid","מזון: תמ""י, תחליף לארוחה נוזלי,OXEPA"
תחליף לארוחה נוזלית NEPRO LP,"Medical formula, NEPRO LP, liquid ",182,"Food item: Medical formula, NEPRO LP, liquid",מזון: תחליף לארוחה נוזלית NEPRO LP
"תמ""י, תחליף לארוחה נוזלי,GLUCERNA","Medical formula, GLUCERNA, liquid ",100,"Food item: Medical formula, GLUCERNA, liquid","מזון: תמ""י, תחליף לארוחה נוזלי,GLUCERNA"
"תמ""י, תחליף לארוחה נוזלי,PERATIVE","Medical formula, PERATIVE, liquid ",130,"Food item: Medical formula, PERATIVE, liquid","מזון: תמ""י, תחליף לארוחה נוזלי,PERATIVE"
"תמ""י, תחליף לארוחה נוזלי, ALITRAQ","Medical formula, ALITRAQ, liquid ",100,"Food item: Medical formula, ALITRAQ, liquid","מזון: תמ""י, תחליף לארוחה נוזלי, ALITRAQ"
"תמ""י, תחליף נוזלי לארוחה  ,NUTREN 2.0, מגאפארם","Medical formula, NUTREN 2, liquid, Megapharm",200,"Food item: Medical formula, NUTREN 2, liquid, Megapharm","מזון: תמ""י, תחליף נוזלי לארוחה  ,NUTREN 2.0, מגאפארם"
"תמ""ל, אנפמיל 1 AR , ANTIREFLUX ,מוכן,  Mead Johnson","Infant formula, ENFAMIL, ANTI REFLUX AR, Pharmabest",69,"Food item: Infant formula, ENFAMIL, ANTI REFLUX AR, Pharmabest","מזון: תמ""ל, אנפמיל 1 AR , ANTIREFLUX ,מוכן,  Mead Johnson"
"תמ""ל, Extracare sensitive, לפגים,מטרנה, מוכן עם מים","Infant formula, EXTRACARESENSITIVE, prepared with water, for premature infants, Materna",74,"Food item: Infant formula, EXTRACARESENSITIVE, prepared with water, for premature infants, Materna","מזון: תמ""ל, Extracare sensitive, לפגים,מטרנה, מוכן עם מים"
"תמ""י,תחליף לארוחה נוזלי, PEDIASURE, אבוט","Infant formula, PEDIASURE, liquid, , Abbott",100,"Food item: Infant formula, PEDIASURE, liquid, , Abbott","מזון: תמ""י,תחליף לארוחה נוזלי, PEDIASURE, אבוט"
"תמ""ל, איזומיל, סימילאק, מוכן","Infant formula, ISOMIL, liquid, Similac",68,"Food item: Infant formula, ISOMIL, liquid, Similac","מזון: תמ""ל, איזומיל, סימילאק, מוכן"
"תמ""ל, מטרנה צמחית, עד גיל שנה, מוכן","Infant formula, non-dairy, to age 1, prepared with water, Materna",68,"Food item: Infant formula, non-dairy, to age 1, prepared with water, Materna","מזון: תמ""ל, מטרנה צמחית, עד גיל שנה, מוכן"
"תמ""ל, מטרנה מהדרין ספיישל, דל לקטוז, מוכן","Infant formula, mehadrin special, low lactose, ready to eat, Materna",67,"Food item: Infant formula, mehadrin special, low lactose, ready to eat, Materna","מזון: תמ""ל, מטרנה מהדרין ספיישל, דל לקטוז, מוכן"
"תמ""ל, מטרנה לילה טוב, אבקה ","Infant formula, GOOD NIGHT, powder, Materna",506,"Food item: Infant formula, GOOD NIGHT, powder, Materna","מזון: תמ""ל, מטרנה לילה טוב, אבקה"
"תמ""ל, מטרנה לילה טוב, בהכנה סמיכה","Infant formula, GOOD NIGHT, thick consistency, Materna",67,"Food item: Infant formula, GOOD NIGHT, thick consistency, Materna","מזון: תמ""ל, מטרנה לילה טוב, בהכנה סמיכה"
"תמ""ל, חלבי שלב 1, כולל מהדרין, אבקה, מטרנה","Infant formula, dairy, Stage 1, powder, Materna",512,"Food item: Infant formula, dairy, Stage 1, powder, Materna","מזון: תמ""ל, חלבי שלב 1, כולל מהדרין, אבקה, מטרנה"
"תמ""ל, חלבי שלב 2, כולל מהדרין, אבקה, מטרנה","Infant formula, dairy, Stage 2, powder, Materna",504,"Food item: Infant formula, dairy, Stage 2, powder, Materna","מזון: תמ""ל, חלבי שלב 2, כולל מהדרין, אבקה, מטרנה"
"תמ""ל, חלבי שלב 3, כולל מהדרין , אבקה, מטרנה","Infant formula, dairy, Stage 3, powder, Materna",481,"Food item: Infant formula, dairy, Stage 3, powder, Materna","מזון: תמ""ל, חלבי שלב 3, כולל מהדרין , אבקה, מטרנה"
"תמ""ל, מטרנה צמחית עד גיל שנה, אבקה","Infant formula, non-dairy, from age 1, ready to drink, Materna",505,"Food item: Infant formula, non-dairy, from age 1, ready to drink, Materna","מזון: תמ""ל, מטרנה צמחית עד גיל שנה, אבקה"
"תמ""ל, מטרנה צמחית, מגיל שנה ואילך, מוכן","Infant formula, non-dairy, stage 1, powder, Materna",68,"Food item: Infant formula, non-dairy, stage 1, powder, Materna","מזון: תמ""ל, מטרנה צמחית, מגיל שנה ואילך, מוכן"
"תמ""ל, מטרנה צמחית, מגיל שנה ואילך, אבקה","Infant formula, non-dairy, stage 1, ready to drink, Materna",489,"Food item: Infant formula, non-dairy, stage 1, ready to drink, Materna","מזון: תמ""ל, מטרנה צמחית, מגיל שנה ואילך, אבקה"
"תמ""י, PHENYLFREE 2, נוזלי, פרמהבסט","Medical formula, PHENYLFREE, liquid, Pharmabest",85,"Food item: Medical formula, PHENYLFREE, liquid, Pharmabest","מזון: תמ""י, PHENYLFREE 2, נוזלי, פרמהבסט"
"תמ""י, MSUD  רגיל","Medical formula, MSUD, liquid ",68,"Food item: Medical formula, MSUD, liquid","מזון: תמ""י, MSUD  רגיל"
"תמ""י, MSUD מרוכז","Medical formula, MSUD concentrate",81,"Food item: Medical formula, MSUD concentrate","מזון: תמ""י, MSUD מרוכז"
"תמ""י, GALACTOMIN 19, אבקה, מגאפארם","Medical formula, GALACTOMIN, powder, Megapharm",514,"Food item: Medical formula, GALACTOMIN, powder, Megapharm","מזון: תמ""י, GALACTOMIN 19, אבקה, מגאפארם"
"תמ""ל, ליפיל  NUTRAMIGEN 1 LGG, מוכן, פרמהבסט","Infant formula, NUTRAMIGEN 1LGG, ready to drink, Pharmabest",68,"Food item: Infant formula, NUTRAMIGEN 1LGG, ready to drink, Pharmabest","מזון: תמ""ל, ליפיל  NUTRAMIGEN 1 LGG, מוכן, פרמהבסט"
"תמ""ל,  PREGESTIMIL LIPIL, נוזלי, פרמהבסט","Infant formula, PREGESTIMIL LIPIL, liquid, Pharmabest",68,"Food item: Infant formula, PREGESTIMIL LIPIL, liquid, Pharmabest","מזון: תמ""ל,  PREGESTIMIL LIPIL, נוזלי, פרמהבסט"
"תמ""י,תחליף לארוחה נוזלי,NEOCATE ADVANCE","Medical formula, NEOCATE ADVANCE, liquid meal substitute ",100,"Food item: Medical formula, NEOCATE ADVANCE, liquid meal substitute","מזון: תמ""י,תחליף לארוחה נוזלי,NEOCATE ADVANCE"
"תמ""ל, סימילאק טופ 1, מוכן, כולל מהדרין","Infant formula, TOP 1, ready to drink, Similac",68,"Food item: Infant formula, TOP 1, ready to drink, Similac","מזון: תמ""ל, סימילאק טופ 1, מוכן, כולל מהדרין"
